SKU,Title,PermalinkUrl,CategoryName,RetailPrice,SellPrice,ShipingPrice,CostPrice,LikePrice,ShortDescription,LongDescription,Stock,Weight,FileName,FileName_1,FileName_2,FileName_3,YouTubeUrl,IsActive,IsVatFree,MoreCategories,FilterData,InternalSKU
TVZ5806TTD,CircuSealer – מכונת וואקום בייתית,CircuSealer-–-מכונת-וואקום-בייתית,מכונות וואקום,380,0,0,,,"**שמרו על טריות המזון לאורך זמן עם מכונת הוואקום הביתית CircuSealer. אידיאלית לאיטום בשרים, ירקות, פירות ועוד. קלה לשימוש, כוללת אחריות לשנה ומשלוח עד הבית. **","🧊 מכונת וואקום ביתית CircuSealer &ndash; שימור מזון מקצועי בבית<br /><br />מכונת הוואקום CircuSealer היא הפתרון האידיאלי לשימור מזון טרי לאורך זמן.&nbsp; באמצעות שאיבת אוויר ואיטום בשקיות ייעודיות, היא מסייעת במניעת כוויות קור, שמירה על טריות המזון והפחתת ריחות לא נעימים.&nbsp;<br /><br />✅ יתרונות המוצר:<br /><br />שימוש פשוט ונוח: הניחו את שולי השקית במכונה, סגרו בלחיצה ולחצו על כפתור ההפעלה. המכונה תשאב את האוויר ותאטום את השקית בפס הלחמה.<br /><br />שימור מגוון רחב של מזון: מתאימה לאיטום בשרים, ירקות, פירות, ממתקים ועוד.<br /><br />חיסכון במקום ובעלויות: אחסון קומפקטי במקפיא או במקרר, הפחתת בזבוז מזון וחיסכון כלכלי לאורך זמן.<br /><br />אחריות: 12 חודשים על ידי היבואן הרשמי EatMeat.&nbsp;<br /><br /><br />📦 מפרט טכני:<br /><br />דגם: CircuSealer<br /><br />מחיר: 380 ₪<br /><br />אחריות: 12 חודשים<br /><br />משלוח: עד 14 ימי עסקים<br /><br />יבואן רשמי: EatMeat&nbsp;",,0.0,https://cdna.wobily.com/images/9ba5af43-db52-42d0-89d1-48585cd4b983.jpg,,,,,True,False,סו-ויד ועביזרים; ,,
27H2UPGL0X,"ביינדר על בסיס ציטראט, תחליף פוספט 100 גר",ביינדר-על-בסיס-ציטראט-תחליף-פוספט,תוספי מזון,25,0,0,52.55,,,"קיבלתי חומר תחליף פוספט שמכיל ציטראט, אבקת חלבון סויה, ועמילן מעובד. מצוין לשימוש במטבח להכנת נקניקים מבושלים ונקניקיות. ציטראט הוא מלח או אסטר של חומצה לימונית. הוא מופק בדרך כלל מחומצה לימונית, שהיא טבעית ונמצאת בפירות הדר כמו לימונים ותפוזים. ציטראט משמש לעיתים קרובות כתוסף מזון, במיוחד לשיפור טעם או כתחליף לפוספטים.מינון 20 גר ל-1 ק""ג מסה",0.0,1.0,https://cdna.wobily.com/images/b1f8d97b-eb43-4e03-8cd5-d8f3d9fab665.jpg,,,,,True,False,מלחים וביינדרים; ,,
J8YQOW7W5Q,ג'לטין בקר אספיק 240 בלום  200 גר,ג-לטין-בקר-אספיק-240-בלום-200-גר,מבצעים החודש,50,40,0,,,,"ג'לטין בקר 240 בלום: מה זה ולמה זה חשוב? 🧐מחפשים מרכיב איכותי למתכונים שלכם? ג'לטין בקר 240 בלום הוא התשובה! 💪מה זה?** ג'לטין איכותי שמקורו מבקר, עם חוזק מצוין (240 בלום!).למה זה טוב?** מעולה למגוון שימושים: ג'לי, קינוחים, מרשמלו ועוד! 🍮היתרונות?** משפר מרקם, מסמיך ומייצב את המזון שלכם. 👍רוצים מתכונים מושלמים? ג'לטין בקר 240 בלום הוא הבחירה הנכונה! ✨ ",,0.0,https://cdna.wobily.com/images/7386e505-712c-4c51-bc30-3bbee69f63b3.jpg,,,,,True,False,,,
CCTBRVMZC7,"גליל שקיות ואקום מחורצות למזון 28x500 ס""מ",גליל-שקיות-ואקום-למזון-28-500-ס”מ,סו-ויד ועביזרים,40,0,0,21.0,0.0,גלילים של שקיות ואקום מחורצות לשימור ובישול מזון בסו-ויד. השקיות מיועדות לכל סוגי המכונות הוואקום הבייתיות. השקיות עומדות בדרישות התקן של המכון התקנים הישראלי ובטוחות לישמוש עם מזון.,גלילים של שקיות ואקום מחורצות לשימור ובישול מזון בסו-ויד. השקיות מיועדות לכל סוגי המכונות הוואקום הבייתיות.<br />&nbsp;השקיות עומדות בדרישות התקן של המכון התקנים הישראלי ובטוחות לישמוש עם מזון.,28.0,0.0,https://cdna.wobily.com/images/d2a30f2c-6d62-4b5e-b372-6bdbb4d9177e.jpg,,,,,True,False,שקיות ואקום מחורצות; ,,
B0PEDUX09T,"גליל שקיות ואקום מחורצות 22×1000 ס""מ",גליל-שקיות-ואקום-מחורצות-22×1000-סמ,שקיות ואקום מחורצות,65,0,0,31.0,,,גלילים של שקיות ואקום מחורצות לשימור ובישול מזון בסו-ויד. השקיות מיועדות לכל סוגי המכונות הוואקום הבייתיות. השקיות עומדות בדרישות התקן של המכון התקנים הישראלי ובטוחות לישמוש עם מזון.,0.0,0.0,https://cdna.wobily.com/images/5cc7101e-e64b-45a8-995d-8de8c69cddb0.jpg,,,,,False,False,,,
BXWL72YOSW,"דם יבש 1 ק""ג",דם-יבש-1-קג,תוספי מזון,250,0,0,120.0,,,"דם יבש, אלבומין של הדם.",4.0,1.0,https://cdna.wobily.com/images/254c5488-fe09-47df-ae55-19dff9bafebc.jpg,https://cdna.wobily.com/images/cb9f46bb-71b1-4190-a367-7a3ebf83c931.jpg,,,,True,False,שונות; ,,
7P93OD912I,הערכה למסווד,הערכה-למסווד,ערכות הסו ויד,305,0,0,,,,"הערכה המושלמת למסווד, כל האביזרים שצריך לבישול בסו ויד בערכה אחת במחיר משתלם<div>&nbsp;</div><div>מיכל לבישול 11 ליטר כולל מכסה ייעודי עם חור לסו ויד</div><div>רשת נגד ציפה מפלדת אל חלד</div><div>2 גלילי שקיות ואקום 20*500</div><div>&nbsp;</div>",,0.0,https://cdna.wobily.com/images/439d109b-adc6-4391-be08-2ee8be2c971b.jpg,,,,,True,False,סו-ויד ועביזרים; ,,
BC4IQOTNLKNCZVP,חוט שפגט,חוט-שפגט,מוצרי עזר,15,0,0,0.0,,240 מטר,,,,https://cdna.wobily.com/images/056d363b-bc07-43e8-baf4-1d7e6ffe2fe5.jpg,,,,,True,False,,,
JL34G7VG1J,תערובת תבלינים לסלאמי טירולי – עם ניחוח בירה עדין! 200 גר,טירולי-200-גר,תבלינים,40,0,0,17.0,,"תערובת תבלינים לסלאמי טירולי – תיבול קלאסי לנקניקים בייבוש טבעי, עם ניחוח בירה עדין וטעם אירופאי עשיר. מושלם להכנה ביתית. 100% טבעי.","מחפשים תיבול מושלם לנקניקים בייבוש? תערובת &quot;סלאמי טירולי&quot; שלנו נועדה בדיוק לכך &ndash; שילוב קלאסי של תבלינים מסורתיים עם נגיעה עדינה של ארומת בירה, שנותנת לנקניק עומק וטעם אירופאי אמיתי.<div>&nbsp;</div><div>יתרונות התבלין:</div><div>&nbsp;</div><div>מתכון ייחודי עם ניחוח בירה קל</div><div>&nbsp;</div><div>מתאים במיוחד לנקניקים בסגנון יבש</div><div>&nbsp;</div><div>תוצאה עשירה ובעלת אופי אותנטי</div><div>&nbsp;</div><div>&nbsp;</div><div>מומלץ ל: סלאמי טירולי, נקניקים ביתיים מיובוש חובבי טעמים מיוחדים.</div><div>מינון מומלץ: 10 גר ל-1 ק&quot;ג בשר</div><div>&nbsp;</div>",,0.0,https://cdna.wobily.com/images/204773d2-428a-49ea-aa9d-456a43c9254e.jpg,,,,,True,False,,,
9ZGKL5KKGA,יריעות קולגן 3 מטר,יריעות-קולגן,שרוולים לנקניקים,60,0,0,,,,יריעת קולגן 3 מטר אורך 40 ס&#39;&#39;מ רוחב,,0.0,https://cdna.wobily.com/images/92a8a2c1-05af-4b8c-8ca3-f0b57cf712fc.jpg,,,,,True,False,שרוולים קולגן; ,,
